Process Element ID,Hierarchy ID,Process Element,Metric Category,"Metric ID
",Metric Name,Formula,Units
10002,1.0,Develop Vision and Strategy,Process Efficiency,101339,Number of new businesses launched over the past three reporting periods per $100 million R&D spend (three reporting periods prior),Number of new businesses/services launched over the past three years / (Research and development (R&D) costs (three reporting periods prior) * 0.000000010),new businesses
10002,1.0,Develop Vision and Strategy,Process Efficiency,101337,Number of new businesses launched over the past three reporting periods per $1 billion revenue (current reporting period),Number of new businesses/services launched over the past three years / (Total business entity revenue * 0.000000001),new businesses
10018,1.1.2,Survey market and determine customer needs and wants,Process Efficiency,106127,Actual Open-to-buy retail inventory as a percentage of planned retail inventory,Actual Open-to-buy inventory as a percentage of planned inventory,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111190,Percentage of digital product team time allocated to digital product design and prototyping,"Percentage of digital product team's time dedicated to digital product design and prototyping
",percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,101764,Percentage growth in R&D cost from three reporting periods prior,((Costs of research and development (R&D) - Research and development (R&D) costs (three reporting periods prior)) / Research and development (R&D) costs (three reporting periods prior)) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,100694,Engineering change order (ECO) costs as a percentage of the total new product development cost,Engineering change-order costs as a percentage of total new product development costs,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,100026,Budget for research and development (R&D) as a percentage of revenue,(Budget for research and development (R&D) / Total business entity revenue) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102003,Percentage of external ideas from suppliers,Percentage of external ideas from suppliers,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111192,Percentage of digital product team time allocated to digital product support,Percentage of digital product team's time dedicated to digital product support,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103143,"Research and development (R&D) cost related to product improvements and extensions per $1,000 revenue",((Percentage of research and development (R&D) cost related to new product development projects * -0.01 + 1) * Costs of research and development (R&D)) / (Total business entity revenue * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103141,"Research and development (R&D) cost related to new product development projects per $1,000 revenue",((Percentage of research and development (R&D) cost related to new product development projects * 0.010) * Costs of research and development (R&D)) / (Total business entity revenue * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103115,Research and development (R&D) budget per R&D FTE,Budget for research and development (R&D) / Number of FTEs who perform research and development (R&D),dollars
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111191,Percentage of digital product team time allocated to digital product development,Percentage of digital product team's time dedicated to digital product development,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,101985,Percentage of existing product/service improvement and extension projects launched on budget,Percentage of existing product/service improvement projects launched on budget,percent
10003,2.0,Develop and Manage Products and Services,Staff Productivity,104463,Number of research and development (R&D) FTEs per $1 billion revenue,Number of FTEs who perform research and development (R&D) / (Total business entity revenue * .000000001),FTEs
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,104144,"Total R&D cost per $1,000 revenue (three reporting periods prior)",Research and development (R&D) costs (three reporting periods prior) / (Total revenue (three reporting periods prior) * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Supplemental Information,104141,Research and development (R&D) cost as a percentage of revenue,R&D cost as a percentage of revenue,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103139,"Research and development (R&D) cost per $1,000 revenue",R&D cost as a percentage of revenue * 10,dollars
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102458,Percentage of R&D cost related to new product development projects,Percentage of research and development (R&D) cost related to new product development projects,percent
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102125,Percentage of total innovation spend allocated to enhancements to existing products/processes/business models,Percentage of total innovation spend allocated to enhancements to existing products/processes/business models,percent
10003,2.0,Develop and Manage Products and Services,Cycle Time,103476,Time-to-market in days for new product/service development projects,Average time-to-market in days from the start of design and development until the new product/service development project ready for sale,days
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111189,Percentage of digital product team time allocated to market and customer research,Percentage of digital product team's time dedicated to market and customer research,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,104142,Total R&D cost as a percentage of revenue (three reporting periods prior),(Research and development (R&D) costs (three reporting periods prior) / Total revenue (three reporting periods prior)) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,104146,Total R&D cost per business entity employee for the current reporting period,Costs of research and development (R&D) / Number of business entity employees,dollars
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102462,Research and development (R&D) FTEs as a percentage of total business entity FTEs,(Number of FTEs who perform research and development (R&D) / Number of business entity FTEs) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,102526,Percentage of current annual revenue from products/services launched in the preceding 12-month period,Percentage of revenue from products/services launched in the last 12-month reporting period,percent
10003,2.0,Develop and Manage Products and Services,Cycle Time,100383,Average time-to-profitability in months for new product/service development projects,Average time-to-profitability in months for new product/service development projects,months
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,105239,"Total annual cost of poor quality per $1,000 revenue",Total annual cost of poor quality / (Total business entity revenue * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102127,Percentage of total innovation spend allocated to new or white space opportunities,Percentage of total innovation spend allocated to new or white space opportunities,percent
10003,2.0,Develop and Manage Products and Services,Cycle Time,100379,Average time-to-market in days for all products (including product improvements and extensions),Average time-to-market in days for all products,days
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102460,Percentage of R&D cost related to product improvements and extensions,(100 - Percentage of research and development (R&D) cost related to new product development projects),percent
10003,2.0,Develop and Manage Products and Services,Cycle Time,103466,Time-to-market in days for existing product/service improvement projects,Average time-to-market in days from the start of design and development until the existing product/service improvement project is ready for sale,days
10003,2.0,Develop and Manage Products and Services,Process Efficiency,101357,Number of new product/service development projects per $1 billion revenue,Number of new product/service developments projects / (Total business entity revenue * 0.000000001),projects
10003,2.0,Develop and Manage Products and Services,Process Efficiency,105466,"Number of FTEs (including external) that perform the function ""develop and manage products and services"" per $1 billion revenue","Number of FTEs (including external) that perform the function ""develop and manage products and services"" / (Total business entity revenue * 0.000000001)",FTEs
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102126,Percentage of total innovation spend allocated to major extensions to existing products/processes/business models,Percentage of total innovation spend allocated to major extensions to products/processes/business models,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,105461,"Total cost to perform the function ""develop and manage products and services"" per $1,000 revenue","Total cost to perform the function ""develop and manage products and services"" / (Total business entity revenue * 0.0010)",dollars
10003,2.0,Develop and Manage Products and Services,Staff Productivity,102644,Percentage of employees tasked with at least one innovation goal,Percentage of employees tasked with at least one innovation goal,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,100406,Compounded annual growth rate of R&D costs over the past three reporting periods,(((Costs of research and development (R&D) / Research and development (R&D) costs (three reporting periods prior)) ^ 0.3333) - 1) * 100.0,percent
19696,2.1,Govern and manage product/service development program,Supplemental Information,105224,"Total cost to perform the process group ""govern and manage product/service development program"" as a percentage of total function cost","Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process group ""govern and manage product/service development program""",percent
19696,2.1,Govern and manage product/service development program,Supplemental Information,111194,Average churn rate across digital product team members,Average churn rate across digital product team members,percent
19696,2.1,Govern and manage product/service development program,Cost Effectiveness,111186,Annual growth in active users,Annual growth in active users,percent
19696,2.1,Govern and manage product/service development program,Supplemental Information,105217,"Number of FTEs (including external) that perform the process group ""govern and manage product/service development program"" as a percentage of total function FTEs","Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process group ""govern and manage product/service development program""",percent
19696,2.1,Govern and manage product/service development program,Cost Effectiveness,111184,Average return on investment (ROI) for new features of digital product,Average return on investment for new features of your digital product,percent
19696,2.1,Govern and manage product/service development program,Cost Effectiveness,105214,"Total cost to perform the process group ""govern and manage product/service development program"" per $1,000 revenue","(Total cost to perform the function ""develop and manage products and services"" * Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process group ""govern and manage product/service development program"" * 0.01) / (Total business entity revenue * 0.0010)",dollars
19696,2.1,Govern and manage product/service development program,Staff Productivity,111181,Number of FTEs that work on digital product team per $1 billion revenue,Total FTEs that work on digital product team / (Total business entity revenue * .000000001),FTEs
19696,2.1,Govern and manage product/service development program,Cycle Time,111176,Average total months it takes until recover investment in a new feature for digital product,Average total months it takes until you recover business entity’s investment in a new feature for your digital product,months
19696,2.1,Govern and manage product/service development program,Process Efficiency,111193,Estimated percentage of digital product work done remotely,Estimated percentage of digital product work done remotely,percent
19696,2.1,Govern and manage product/service development program,Staff Productivity,111182,Number of FTEs that work on the digital product team as a percentage of business entity's FTEs,(Total FTEs that work on digital product team / Number of business entity FTEs) * 100,percent
19696,2.1,Govern and manage product/service development program,Supplemental Information,111187,Percentage of digital product features not used by end users,Percentage of digital product  features not used by end users,percent
19696,2.1,Govern and manage product/service development program,Process Efficiency,105213,"Number of FTEs (including external) that perform the process group ""govern and manage product/service development program"" per $1 billion revenue","(Number of FTEs (including external) that perform the function ""develop and manage products and services"" * Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process group ""govern and manage product/service development program"" * 0.01) / (Total business entity revenue * 0.000000001)",FTEs
10061,2.1.1,Manage product and service portfolio,Cost Effectiveness,111173,Total annual investment in digital product per digital product team FTE,Total annual investment in business entity’s digital product / Total FTEs that work on digital product team,dollars
10061,2.1.1,Manage product and service portfolio,Cost Effectiveness,111171,Total annual investment in digital product per business entity employee,Total annual investment in business entity’s digital product / Number of business entity employees,dollars
10061,2.1.1,Manage product and service portfolio,Cost Effectiveness,111172,Total annual investment in digital product per business entity FTE,Total annual investment in business entity’s digital product / Number of business entity FTEs,dollars
10061,2.1.1,Manage product and service portfolio,Cost Effectiveness,111174,Total annual investment in digital product as a percentage of revenue,(Total annual investment in business entity’s digital product / Total business entity revenue) * 100,percent
10061,2.1.1,Manage product and service portfolio,Cost Effectiveness,111195,ROI achieved in generative AI for digital product development processes,ROI achieved in generative AI for digital product development processes,percent
10067,2.1.2,Manage product and service life cycle,Cycle Time,111183,Number of weeks passed between digital products releases,Total weeks passed between digital product releases,weeks
10067,2.1.2,Manage product and service life cycle,Cycle Time,111178,Average cycle time in weeks for new digital product features from ideation until the feature generates revenue or delivers value to customers,Average cycle time in weeks for new digital product features from ideation until the feature generates revenue or delivers value to customers,weeks
10067,2.1.2,Manage product and service life cycle,Supplemental Information,111180,Monthly frequency of live demonstrations of in-progress work for users,Monthly frequency of live demonstrations of in-progress work for users,demos
10067,2.1.2,Manage product and service life cycle,Cycle Time,111177,Average cycle time in weeks for new digital product features from ideation to launch,"Average cycle time in weeks for new digital product features, from ideation to launch",weeks
10067,2.1.2,Manage product and service life cycle,Cycle Time,105216,Average lead time in months between subsequent product generations for primary products,Average lead time in months between subsequent product generations,days
10067,2.1.2,Manage product and service life cycle,Cycle Time,111179,Average cycle time in weeks for new digital product features from launch until the feature is in stable operation at scale,Average cycle time in weeks for new digital product features from launch until the feature is in stable operation at scale,weeks
10067,2.1.2,Manage product and service life cycle,Process Efficiency,111188,Typical percent of change in scope during development sprints after the initial planning,Typical percentage change in scope during development sprints after the initial planning,percent
19698,2.2,Generate and define new product/service ideas,Process Efficiency,105463,"Number of FTEs (including external) that perform the process group ""generate and define new product/service ideas"" per $1 billion revenue","(Number of FTEs (including external) that perform the function ""develop and manage products and services"" * Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process group ""generate and define new product/service ideas"" * 0.01) / (Total business entity revenue * 0.000000001)",FTEs
19698,2.2,Generate and define new product/service ideas,Supplemental Information,105220,"Number of FTEs (including external) that perform the process group ""generate and define new product/service ideas"" as a percentage of total function FTEs","Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process group ""generate and define new product/service ideas""",percent
19698,2.2,Generate and define new product/service ideas,Supplemental Information,105225,"Total cost to perform the process group ""generate and define new product/service ideas"" as a percentage of total function cost","Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process group ""generate and define new product/service ideas""",percent
19698,2.2,Generate and define new product/service ideas,Cost Effectiveness,105468,"Total cost to perform the process group ""generate and define new product/service ideas"" per $1,000 revenue","(Total cost to perform the function ""develop and manage products and services"" * Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process group ""generate and define new product/service ideas"" * 0.01) / (Total business entity revenue * 0.0010)",dollars
10062,2.3,Develop products and services,Cycle Time,100664,Cycle time in days from the start of design and development through completion of test marketing for existing product/service improvement projects,Cycle time in days from the start of design and development through completion of test marketing for existing product/service improvement projects,days
10062,2.3,Develop products and services,Cycle Time,100665,Cycle time in days from the start of design and development through completion of test marketing for new product/service development projects,Cycle time in days from the start of design and development through completion of test marketing for new product/service development projects,days
10062,2.3,Develop products and services,Process Efficiency,105504,"Number of FTEs (including external) that perform the process group ""develop products and services"" per $1 billion revenue","(Number of FTEs (including external) that perform the function ""develop and manage products and services"" * (Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""design and prototype products and services"" + Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""test market for new or revised products and services"" + Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""prepare for production/service delivery"") * 0.01) / (Total business entity revenue * 0.000000001)",FTEs
10062,2.3,Develop products and services,Process Efficiency,105249,Product development defect rate in parts per million,Average product development defect rate in parts per million,parts per million
10062,2.3,Develop products and services,Cost Effectiveness,105505,"Total cost to perform the process group ""develop products and services"" per $1,000 revenue","(Total cost to perform the function ""develop and manage products and services"" * (Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""design and prototype products and services"" + Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""test market for new or revised products and services"" + Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""prepare for production/service delivery"") * 0.01) / (Total business entity revenue * 0.0010)",dollars
19993,2.3.1,Design and prototype products and services,Supplemental Information,105226,"Total cost to perform the process ""design and prototype products and services"" as a percentage of total function cost","Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""design and prototype products and services""",percent
19993,2.3.1,Design and prototype products and services,Supplemental Information,105221,"Number of FTEs (including external) that perform the process ""design and prototype products and services"" as a percentage of total function FTEs","Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""design and prototype products and services""",percent
19996,2.3.2,Test market for new or revised products and services,Supplemental Information,105222,"Number of FTEs (including external) that perform the process ""test market for new or revised products and services"" as a percentage of total function FTEs","Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""test market for new or revised products and services""",percent
19996,2.3.2,Test market for new or revised products and services,Supplemental Information,105227,"Total cost to perform the process ""test market for new or revised products and services"" as a percentage of total function cost","Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""test market for new or revised products and services""",percent
19997,2.3.3,Prepare for production/service delivery,Supplemental Information,108546,Percentage change in average time to launch manufacturing for a new product in the past 12 months,((Average time in weeks to launch manufacturing for a new product - Average time to launch manufacturing for a new product measured 12 months ago) / Average time to launch manufacturing for a new product measured 12 months ago) * 100,percent
19997,2.3.3,Prepare for production/service delivery,Supplemental Information,105228,"Total cost to perform the process ""prepare for production/service delivery"" as a percentage of total function cost","Percentage of total cost to perform the function ""develop and manage products and services"" allocated to the process ""prepare for production/service delivery""",percent
19997,2.3.3,Prepare for production/service delivery,Cycle Time,107454,Average time to launch manufacturing for a new product,Average time in weeks to launch manufacturing for a new product,weeks
19997,2.3.3,Prepare for production/service delivery,Supplemental Information,105223,"Number of FTEs (including external) that perform the process ""prepare for production/service delivery"" as a percentage of total function FTEs","Percentage of FTEs (including external) that perform the function ""develop and manage products and services"" allocated to the process ""prepare for production/service delivery""",percent
19997,2.3.3,Prepare for production/service delivery,Cycle Time,107456,Average time to launch manufacturing for a new product measured 12 months ago,Average time to launch manufacturing for a new product measured 12 months ago,weeks
10004,3.0,Market and Sell Products and Services,Supplemental Information,109038,Number of sales & marketing FTEs as a percentage of total business entity FTEs,((Number of FTEs who perform the sales function + Number of FTEs who perform the marketing function) / Number of business entity FTEs) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,109640,B2B business customer one-year attrition rate,B2B customer 1-year retention rate,Percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109350,Return on investment for the earned digital media marketing channel,Total annual marketing ROI from earned digital media channels,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,102347,Revenue received from fax and mail orders as a percentage of total business entity revenue,(Revenue received from fax and mail orders / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,104745,Revenue received from internet orders as a percentage of total business entity revenue,Percentage of total annual sales revenue attributable to your website channel,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,104736,Percentage of customers targeted through campaigns using the social media channel,Percentage of customers targeted through campaigns using the social media channel,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109301,Days spent investigating as a percentage of total business sales cycle time for B2B customers,(Average sales cycle duration in days for B2B customers with respect to Investigation / Average sales cycle duration in days for B2B customers) * 100,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,102343,Revenue received from EDI orders as a percentage of total business entity revenue,(Revenue received from EDI orders / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109302,Days spent in proposals as a percentage of total business sales cycle time for B2B customers,(Average sales cycle duration in days for B2B customers with respect to Proposal / Average sales cycle duration in days for B2B customers) * 100,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,104738,Percentage of customers targeted through campaigns using the direct mail channel,Percentage of customers targeted through campaigns using the direct mail channel,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,108952,Employee Net Promoter Score (eNPS) for transportation employees,Net Promoter Score for transportation employees ,NPS
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,111599,Estimate if not using AI in marketing - Total annual marketing expenditure as a percentage of revenue,Estimate if not using AI in marketing - Total annual marketing expenditure as a percentage of revenue,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,111596,Marketing reach for B2B and B2C customers,Marketing reach for B2B and B2C customers,customers
10004,3.0,Market and Sell Products and Services,Supplemental Information,109342,Business entity revenue generated from B2C sales per active B2C customer,Revenue from B2C customers / Number of active B2C customers,dollars
10004,3.0,Market and Sell Products and Services,Supplemental Information,111602,Estimate if not using AI in marketing - Marketing reach for B2C customers,Estimate if not using AI in marketing - Marketing reach for B2C customers,customers
10004,3.0,Market and Sell Products and Services,Process Efficiency,109355,Return on investment for the trade shows and other in person events marketing channel,Total annual marketing ROI from trade shows and other in-person events,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107496,Percentage of active customers that are profitable measured 12 months ago,Percentage of the active customers that were profitable a year ago,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109303,Days spent in negotiations as a percentage of total business sales cycle time for B2B customers,(Average sales cycle duration in days for B2B customers with respect to Negotiation / Average sales cycle duration in days for B2B customers) * 100,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109356,Return on investment for the partnerships and alliances marketing channel,Total annual marketing ROI from partnerships and alliances,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,104725,Net Promoter Score,Net Promoter Score,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107344,Percentage of marketing FTEs eliminated/redeployed in the past 12 months attributed to AI,"Percentage of the FTE changes in marketing attributed to AI, related to FTEs eliminated/redeployed in the past 12 months",percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107343,Percentage of marketing FTEs added/hired  in the past 12 months attributed to AI,"Percentage of the FTE changes in marketing attributed to AI, related to FTEs added/hired in the past 12 months",percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,109641,B2C consumer one-year attrition rate,B2C customer 1-year retention rate,Percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109346,Planned organic revenue growth rate for the next 12-month period,Planned organic revenue growth rate for next 12-month period,percent
10004,3.0,Market and Sell Products and Services,Cycle Time,109358,"Average time taken, in weeks, to plan an update, re-run or extension of an existing marketing campaign which does not involve using external creative and media agencies","Average time taken (in weeks. elapsed) to plan an update, re-run, or extension of an existing marketing campaign which does not involve using external creative and media agencies",weeks
10004,3.0,Market and Sell Products and Services,Supplemental Information,109639,Percentage of marketing-driven sales that include a successful cross-sell or upsell,Percentage of marketing-driven sales that include a successful cross-sell or upsell,Percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109344,Customer acquisition rate for B2C customers,B2C Customer acquisition rate,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,102345,Revenue received from email orders as a percentage of total business entity revenue,(Revenue received from email orders / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Cycle Time,109360,"Average time taken, in weeks, to plan an entirely new marketing campaign which does not involve using external creative and media agencies","Average time taken (in weeks, elapsed) to plan an entirely new marketing campaign which does not involve using external creative and media agencies",weeks
10004,3.0,Market and Sell Products and Services,Supplemental Information,107345,Percentage of marketing FTEs with skill requirement changes in the past 12 months,Percentage of marketing FTEs having had skill requirements changes in the past year,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,111617,Estimate if not using AI in marketing - Average net promoter score (NPS) earned through B2C customers,Estimate if not using AI in marketing - Average net promoter score earned through B2C consumers,score
10004,3.0,Market and Sell Products and Services,Supplemental Information,107347,Average number of days per marketing employee currently dedicated to learning,Average number of days per marketing employee that are dedicated to learning currently,days
10004,3.0,Market and Sell Products and Services,Supplemental Information,107336,Business entity revenue per sales FTE,Total business entity revenue / Number of FTEs who perform the sales function,dollars
10004,3.0,Market and Sell Products and Services,Supplemental Information,111595,Marketing reach for B2C customers,Marketing reach for B2C customers,customers
10004,3.0,Market and Sell Products and Services,Supplemental Information,104733,Percentage of customers targeted through campaigns using the website channel,Percentage of customers targeted through campaigns using the website channel,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109363,Average net promoter score (NPS) earned through B2B customers,Average net promoter score earned through B2B customers,NPS
10004,3.0,Market and Sell Products and Services,Process Efficiency,109304,Days spent in closing (won/lost) as a percentage total business sales cycle time for B2B customers,(Average sales cycle duration in days for B2B customers with respect to Closing (won/lost) / Average sales cycle duration in days for B2B customers) * 100,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,100511,Customer retention rate (3-year),Customer retention rate (3-year),percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109353,Return on investment for the advertisement and placement in physical outlets marketing channel,Total annual marketing ROI from advertisement and placement in physical outlets,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,102288,Marketing FTEs as a percentage of total business entity FTEs,(Number of FTEs who perform the marketing function/Number of business entity FTEs)*100,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109300,Days spent prospecting as a percentage of total business sales cycle time for B2B customers,(Average sales cycle duration in days for B2B customers with respect to Prospecting / Average sales cycle duration in days for B2B customers) * 100,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107355,Percentage of average return on investment for marketing / sales campaigns attributed to AI,Percentage of return on investment for marketing/sales campaigns attributable to AI,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,107298,Net promoter score measured 12 months ago,Net promoter score 12 months ago,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,107360,Organization's average conversion rate ,Organization's average conversion rate currently,percent
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,112249,Sales & marketing budget per sales & marketing FTE,(Budget for sales + Budget for marketing) / (Number of FTEs who perform the sales function + Number of FTEs who perform the marketing function),dollars
10004,3.0,Market and Sell Products and Services,Staff Productivity,111614,Percentage of the redeployed/eliminated marketing FTEs that would be attributed to AI,Percentage of the redeployed/eliminated marketing FTEs that would be attributed to AI,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,104486,Number of sales FTEs per $1 billion revenue,Number of FTEs who perform the sales function / (Total business entity revenue * 0.000000001),FTEs
10004,3.0,Market and Sell Products and Services,Process Efficiency,101918,Percentage of customer accounts set up for electronic data interchange (EDI),(Customer accounts set up for EDI to submit sales orders / Number of customers in the customer master file) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107349,Percentage change in average number of learning days per marketing FTE attributed to AI,Percentage of change in average number of learning days per marketing employee over the past year attributable to AI,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107358,Organization's average revenue per customer measured 12 months ago,Organization's average revenue per customer a year ago,dollars
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,107354,Average return on investment for marketing/sales campaigns,Average return on investment for marketing/sales campaigns across all channels,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,100495,Customer attrition/churn rate (1-year),Customer attrition/churn rate (1-year),percent
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,107351,Organization's learning budget per marketing employee 12 months ago,Organization's learning budget per market employee currently per marketing employee a year ago,dollars
10004,3.0,Market and Sell Products and Services,Supplemental Information,102341,Revenue received from orders through a direct connection to the system as a percentage of total business entity revenue,(Revenue received from orders through a direct connection to the system / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,109341,Business entity revenue generated from B2B sales per active B2B customer,Revenue from B2B customers / Number of active B2B customers,dollars
10004,3.0,Market and Sell Products and Services,Supplemental Information,111601,Estimate if not using AI in marketing - Marketing reach for B2B customers,Estimate if not using AI in marketing - Marketing reach for B2B customers,customers
10004,3.0,Market and Sell Products and Services,Process Efficiency,109039,Number of sales & marketing FTEs per $1 billion revenue,(Number of FTEs who perform the sales function + Number of FTEs who perform the marketing function) / (Total business entity revenue * 0.000000001),FTEs
10004,3.0,Market and Sell Products and Services,Supplemental Information,111615,Total months marketing has used AI,Total number of months marketing has used AI,months
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,107356,AI cost as a percentage of campaign investment,AI cost as a percentage of marketing/sales campaign investment,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,111612,Estimate if not using AI in marketing - Average B2C conversion rate through digital marketing channels,Estimate if not using AI in marketing - Average B2C conversion rate through digital marketing channels,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,101926,"Revenue received from internet orders, mobile orders, EDI orders, and orders from a direct connection to the system as a percentage of total business entity revenue",((Revenue received from internet orders + Revenue received from WAP orders + Revenue received from EDI orders + Revenue received from orders through a direct connection to the system) / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,107342,Percentage change in marketing FTEs over the past 12 months,((Number of marketing FTEs added/hired in the past year - Number of marketing FTEseliminated/redeployed in the past year) / ((Number of FTEs who perform the marketing function - Number of marketing FTEs added/hired in the past year + Number of marketing FTEseliminated/redeployed in the past year)^2)^0.5)* 100,percent
10004,3.0,Market and Sell Products and Services,Process Efficiency,109348,Return on investment for the owned media marketing channel,Total annual marketing ROI from owned media channels,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,102353,Revenue received from telephone orders as a percentage of total business entity revenue,(Revenue received from telephone orders / Total business entity revenue) * 100.0,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,109665,Average B2C conversion rate through digital marketing channels,Average B2C conversion rate through digital marketing channels,percent
10004,3.0,Market and Sell Products and Services,Supplemental Information,111603,Estimate if not using AI in marketing - Marketing reach for B2B and B2C customers,Estimate if not using AI in marketing - Marketing reach for B2B and B2C customers,customers
10004,3.0,Market and Sell Products and Services,Process Efficiency,111618,Estimate if not using AI in marketing - Customer acquisition rate for B2B customers,Estimate if not using AI in marketing - B2B Customer acquisition rate,percent
10004,3.0,Market and Sell Products and Services,Cost Effectiveness,109037,Budget for sales & marketing as a percentage of revenue,((Budget for marketing + Budget for sales) / Total business entity revenue) * 100.0,percent
